market_code,stock_code,industry_code
0,SZ.000001,T1001
0,SZ.000002,T110201
0,SZ.000004,T1205
0,SZ.000006,T110202
0,SZ.000007,T050105
0,SZ.000008,T0703
0,SZ.000009,T0706
0,SZ.000010,T110101
0,SZ.000011,T110204
0,SZ.000012,T020603
0,SZ.000014,T110201
0,SZ.000016,T0401
0,SZ.000017,T030302
0,SZ.000019,T030206
0,SZ.000020,T1204
0,SZ.000021,T1204
0,SZ.000025,T1301
0,SZ.000026,T030302
0,SZ.000027,T010202
0,SZ.000028,T050104
0,SZ.000029,T110202
0,SZ.000030,T040202
0,SZ.000031,T110201
0,SZ.000032,T110101
0,SZ.000034,T1205
0,SZ.000035,T0805
0,SZ.000036,T110201
0,SZ.000037,T010202
0,SZ.000039,T0703
0,SZ.000042,T110201
0,SZ.000045,T1204
0,SZ.000048,T030206
0,SZ.000049,T0706
0,SZ.000050,T1204
0,SZ.000055,T020604
0,SZ.000056,T050105
0,SZ.000058,T050106
0,SZ.000059,T010302
0,SZ.000060,T020203
0,SZ.000061,T030206
0,SZ.000062,T1204
0,SZ.000063,T1202
0,SZ.000065,T110101
0,SZ.000066,T1201
0,SZ.000068,T0805
0,SZ.000069,T110201
0,SZ.000070,T1202
0,SZ.000078,T050104
0,SZ.000088,T090303
0,SZ.000089,T090302
0,SZ.000090,T110101
0,SZ.000096,T010303
0,SZ.000099,T090103
0,SZ.000100,T1204
0,SZ.000151,T0502
0,SZ.000153,T040501
0,SZ.000155,T010203
0,SZ.000156,T060102
0,SZ.000157,T0707
0,SZ.000158,T1205
0,SZ.000159,T010303
0,SZ.000166,T1002
0,SZ.000301,T0203
0,SZ.000333,T0401
0,SZ.000338,T040202
0,SZ.000400,T0706
0,SZ.000401,T020602
0,SZ.000402,T110201
0,SZ.000403,T040502
0,SZ.000404,T0401
0,SZ.000407,T0804
0,SZ.000408,T020402
0,SZ.000409,T1205
0,SZ.000410,T070401
0,SZ.000411,T050104
0,SZ.000415,T1004
0,SZ.000417,T050101
0,SZ.000419,T050101
0,SZ.000420,T0203
0,SZ.000421,T0804
0,SZ.000422,T020402
0,SZ.000423,T040503
0,SZ.000425,T0707
0,SZ.000426,T020203
0,SZ.000428,T0604
0,SZ.000429,T090301
0,SZ.000430,T060502
0,SZ.000488,T0207
0,SZ.000498,T110101
